serial,clave,event,level0,name0,level1,name1,level2,name2,place,d_year,d_month,d_day,duration,cause,descr_cause,sources,magnitude,glide,other,killed,injured,missing,houses_destroyed,houses_damaged,victims,affected,relocated,evacuated,value_us,value_local,nschools,nhospitals,nhectares,ncatle,mts_roads,with_killed,with_injured,with_missing,with_houses_destroyed,with_hauses_damaged,with_victims,with_affected,with_relocated,with_evacuated,education,health,agriculture,water,sewage,industries,communications,transportation,power,relief,with_other,latitude,longitude,comments,defaultab,approved,uu_id
1990-0021,25759,Sequía,07,SANTA CRUZ,0708,Valle Grande,,,,1990,9,9,0,Condiciones atmosféricas,Sequía afectada sector agropecuario,EL DIARIO 10/sep pág 1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,G.Tiene relación con ficha anterior 1990-0020,,0,bfd9cbf3-6920-404a-9322-7d09555426ce
1990-0022,25760,Sequía,01,CHUQUISACA,0107,Nor Cinti,,,,1990,9,9,0,Condiciones atmosféricas,Sequía afecta sector agropecuario,EL DIARIO 10/sep pág 1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,G.Tiene relación con anteriores dos fichas,,0,242131d2-6ff8-4e50-b95a-e68f649fd2a3
1990-0023,25761,Sequía,01,CHUQUISACA,0109,Sur Cinti,,,,1990,9,9,0,Condiciones atmosféricas,Sequía afecta sector agropecuario,EL DIARIO 10/sep pág 1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,G.Relación con anteriores fichas,,0,d7989f37-2db9-4f97-b3cc-6cecdb36ca97
1990-0024,25762,Tormenta eléctrica,02,LA PAZ,0201,Murillo,020101,Nuestra Senora de La Paz,Capital,1990,9,26,0,Condiciones atmosféricas,Descarga eléctrica atmosférica sobre plantas de COBEE,EL DIARIO 27/sep pág 7,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,En.A consecuencia de la tormenta eléctrica se sufrió un apagón de luz eléctrica de cincuenta (50) minutos,,0,2d1464a0-59f6-4660-aa6c-4a7f5ef314f8
1990-0025,25763,Granizada,03,COCHABAMBA,0301,Cercado,030101,Cochabamba,Capital,1990,10,19,0,Condiciones atmosféricas,Granizada destroza jardines y plantaciones frutales,EL DIARIO 20/sep pág 10,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,G.Debido a la granizada en la capital cochabambina  se tienen los destrozos en jardines y plantaciones frutales además del anegamiento de varios barrios,,0,3afe81b2-ad2f-4f6e-acd5-823abffb2da9
1990-0026,25764,Epidemia,04,ORURO,0401,Cercado,040101,Oruro,Capital y alrededores,1990,10,21,0,Virus,Sarampión,EL DIARIO 22/octo pág 4,,,,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,S.Epidemia se presenta en niños menores de 5 años  solo se reportan tres casos de niños mayores de esta edad,,0,93fdc145-8340-47db-9b5e-ea6f5b12c3a0
1990-0027,25765,Epidemia,04,ORURO,0402,Avaroa,040201,Challapata,Challapata,1990,10,22,0,Desconocida,Laringitis estreptocócica,EL DIARIO 23/oct pág 3,,,,25,420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,S.Epidemia de laringitis ocasiona la muerte de 25 personas y el caso de 420 enfermos  en Challapata perteneciente a la Provincia Avaroa del Departamento de Oruro,,0,e3c68ce1-0e46-45f5-92e4-93a2650840b9
1990-0028,25766,Epidemia,07,SANTA CRUZ,0701,Andres Ibañez,070101,Santa Cruz de la Sierra,Capital,1990,10,22,0,Virus,Sarampión,EL DIARIO 23/oct pág 3,,,,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,S.Epidemia de sarampión en Santa Cruz  se reporta el caso de 38 personas enfermas,,0,ddb304f3-d799-4d8b-9640-820e0d7522f3
1990-0029,25767,Epidemia,02,LA PAZ,0201,Murillo,020101,Nuestra Senora de La Paz,Capital,1990,10,22,0,Virus,Sarampión,EL DIARIO 23/oct pág 3,,,,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,S.Se reportan el caso de 32 personas enfermas con sarampión/G.Guarda relación con ficha anterior 1990-0032,,0,40d4ee86-67cf-4d0e-a84e-236ded566dc2
1990-0030,25768,Deslizamiento,01,CHUQUISACA,0101,Oropeza,010101,Sucre,Capital,1990,11,1,0,Desconocida,Derrumbe en el viejo canal de aducción de Ravelo,EL DIARIO 02/nov pág 8,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Ac.Desabastecimiento de agua potable,,0,83226b6f-d9d3-48bc-9640-ca72d54bd6fe
1990-0031,25769,Epidemia,05,POTOSI,0501,Tomas Frias,050101,Potosi,Capital,1990,11,3,0,Virus,Sarampión,EL DIARIO 04/nov pág 4,,,,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,S.Epidemia de sarampión se detecta en Potosí  se registran 29 personas enfermas,,0,b7cb487e-2297-4dcc-8ede-115d562ef257
1990-0032,25770,Inundación,02,LA PAZ,0201,Murillo,020101,Nuestra Senora de La Paz,Villa Victoria de la ciudad de La Paz,1990,11,13,0,Lluvias,Lluvia de 30 minutos causó inundaciones,EL DIARIO 14/nov pág 5,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,Al.Taponamiento de torrenteras y boca de tormentas por basura/Va.Se reporta el caso de seis viviendas afectadas a consecuencia del Evento,,0,92044709-b679-4ccc-acba-8e4fe29a6368
